,E_Equipment Serial Number,E_OEM Nameplate SN
7760,808279,808279
7761,147875,147875
7762,245100,245100
7763,821874,821874
7764,G06674,G06674
7765,808765,474163
7766,G06617,G06617
7767,800852,800852
7768,820109,G07818
7769,G08408,G08408
7770,244467,244467
7771,805595,805595
7772,809443,G06299
7773,800862,800862
7774,934657,540290
7775,801505,801505
7776,5516,05516
7777,800859,800859
7778,801524,801524
7779,820118,G07827
7780,179310,179310
7781,127710,127710
7782,822745,7265165
7783,805485,805485
7784,821794,7246646
7785,G06742,G06742
7786,801576,801576
7787,820716,G08034
7788,G07985,G07985
7789,801555,801555
7790,809877,G06459
7791,147883,147883
7792,820492,481010
7793,296932,296932
7794,179497,179497
7795,G07784,G07784
7796,805479,805479
7797,821224,G08318
7798,809091,05853
7799,295942,05753
7800,244964,244964
7801,820690,G08058
7802,244412,244412
7803,244969,244969
7804,244647,244647
7805,930126,05177
7806,809809,G06157
7807,245021,245021
7808,244962,244962
7809,821486,821486
7810,812442,812442
7811,809583,05902
7812,812896,G07572
7813,812455,812455
7814,298424,298424
7815,808896,481457
7816,808312,808312
7817,226281,226281
7818,820189,691080
7819,808282,808282
7820,10200,05270
7821,820911,G08309
7822,809696,G06224
7823,800993,800993
7824,800634,800634
7825,809436,G06055
7826,281876,05326
7827,812857,G07554
7828,822368,691290
7829,214106,214106
7830,801515,801515
7831,930170,05564
7832,G08743,G08743
7833,930134,05193
7834,214210,T34
7835,822259,822259
7836,245295,05251
7837,G08230,G08230
7838,805149,805149
7839,282473,282473
7840,930232,05950
7841,803975,803975
7842,G06728,G06728
7843,900548,G06517
7844,801547,801547
7845,295297,295297
7846,296532,296532
7847,BH0484162,
7848,930151,05316
7849,900015,05315
7850,295304,295304
7851,820929,7231096
7852,147881,147881
7853,245155,245155
7854,809381,260368
7855,179283,179283
7856,179451,179451
7857,G07010,G07010
7858,244841,244841
7859,934676,54030
7860,809578,05940
7861,934677,54020
7862,809559,05936
7863,809572,05920
7864,809561,05932
7865,934678,54010
7866,809576,05928
7867,809563,05930
7868,806052,806052UK
7869,806051,806051UK
7870,806050,806050UK
7871,900552,900552
7872,821519,7242766
7873,821518,7242765
7874,963661,963661
7875,G06292,G06292
7876,244867,244867
7877,809551,G06013
7878,809550,05688
7879,900410,05513
7880,900411,05514
7881,809549,G06014
7882,930176,05629
7883,930177,05630
7884,226147,226147
7885,226211,226211
7886,225942,225942
7887,226253,T90
7888,226104,T78
7889,850130,G07943
7890,850129,G07942
7891,850092,G07941
7892,850133,6BA1056
7893,244443,244443
7894,T212,T212
7895,850244,850244
7896,850243,850243
7897,850231,850231
7898,850242,850242
7899,850180,G08208
7900,850179,G08207
7901,850178,G08206
7902,850177,G08209
7903,850175,G08205
7904,850173,G08204
7905,850171,G08203
7906,850159,G08202
7907,226371,226371
7908,806340,806340
7909,806339,806339
7910,806338,806338
7911,281735,281735
7912,281734,281734
7913,281733,281733
7914,810824,140740
7915,214195,T30
7916,225922,225922
7917,BH0330272,
7918,9198,9198
7919,9197,9197
7920,9196,9196
7921,214193,T28
7922,214192,T27
7923,EGG0161,572250
7924,809043,7251702
7925,179443,179443
7926,179442,179442
7927,295995,295995
7928,226398,226398
7929,226397,226397
7930,226262,226262
7931,226254,226254
7932,214298,214298
7933,214297,214297
7934,179465,179465
7935,179406,179406
7936,179381,05023
7937,G07832,G07832
7938,G07831,G07831
7939,G07834,G07834
7940,G07833,G07833
7941,850104,G07792
7942,850103,G07791
7943,850101,G07789
7944,850099,G07788
7945,850098,G07790
7946,850105,G07793
7947,G07610,G07610
7948,G07964,G07964
7949,G07963,G07963
7950,G07962,G07962
7951,G07965,G07965
7952,282506,G07029
7953,225945,G07028
7954,225944,G07027
7955,812354,53172
7956,812192,53397
7957,810177,310294
7958,810173,310295
7959,BH0115505,
7960,G06441,G06441
7961,810176,310469
7962,805050,805050
7963,147812,147812
7964,296834,296834
7965,809476,05717
7966,295598,295598
7967,295619,572260
7968,808513,05842
7969,808407,260017-1
7970,808406,260017-3
7971,808493,125688-2
7972,808492,125688-1
7973,808405,260017-2
7974,282523,282523
7975,244764,244764
7976,244763,244763
7977,244721,244721
7978,244720,244720
7979,245292,245292
7980,244893,GT201
7981,244891,GT200
7982,226259,226259
7983,812198,G06833
7984,G07077,G07077
7985,G07076,G07076
7986,G07075,G07075
7987,G07074,G07074
7988,G06489,G06489
7989,930371,G06656
7990,226040,226040
7991,95052,95052
7992,95028,95028
7993,850100,G07888
7994,850097,G07887
7995,298746,G07891
7996,298745,G07890
7997,298635,G07773
7998,298634,G07771
7999,281965,281965
8000,811000,T119
8001,G06565,G06565
8002,G06563,G06563
8003,G06562,G06562
8004,G06560,G06560
8005,G06593,G06593
8006,G06546,G06546
8007,G06545,G06545
8008,G06540,G06540
8009,G06537,G06537
8010,G06533,G06533
8011,G06532,G06532
8012,G06534,G06534
8013,806102,806102UK
8014,95070,95070
8015,296384,296384
8016,282499,282499
8017,282064,282064
8018,281941,281941
8019,900286,T259
8020,295466,GT330
8021,295267,GT356
